Name,Countries,Stage,Type,Cheque_min,Cheque_max,Industry
Secure Octane Investments,"United States,India,United Kingdom,Israel,Australia","pre-seed, idea, prototype/mvp, seed, series+",VC,200000,500000,Other
Secways,"United States,Albania,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Italy,Latvia,Luxembourg,Malta,Norway,Poland,Spain","pre-seed, seed, series+",Family office,500000,500000,IT
Seed + Speed Ventures,"Germany,Switzerland,Austria","pre-seed, idea, prototype/mvp, seed",Family office,60000,600000,IT
Seed Capital,Denmark,"pre-seed, idea, prototype/mvp, seed, series+",VC,1000000,5000000,IT
Seed Round Capital,"United States,Canada","pre-seed, seed, series+",Angel network,25000,250000,IT
Seed Smart,"France,Germany,United States,Australia,Canada,Belgium,Singapore,United Kingdom,Ukraine,Russia,Sweden","pre-seed, seed, series+",Angel network,15000,50000,IT
Seed4Soft,France,"pre-seed, idea, prototype/mvp, seed",Angel network,200000,600000,IT
Seed4Tech Venture Capital,"Germany,Switzerland,France","pre-seed, idea, prototype/mvp, seed",VC,500000,1000000,Sector Agnostic
SeedBlink,"Romania,Bulgaria,Slovenia,Slovakia,Greece,Croatia,Czech Republic,Turkey","pre-seed, seed, series+",Angel network,100000,1000000,Sector Agnostic
Seedrs,"Denmark,Finland,France,Ireland,Italy,Netherlands,Portugal,Spain,Sweden,Switzerland,United Kingdom","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,8000000,Consumer
Seedstars Africa Ventures,"Benin,Burkina Faso,Cameroon,Congo (Congo-Brazzaville),DRC Congo,Côte d'Ivoire,Ethiopia,Ghana,Kenya,Mali,Nigeria,Rwanda,Senegal,South Africa,Tanzania,Togo,Uganda","pre-seed, seed, series+",VC,200000,2000000,Sector Agnostic
Seedventure Limited,"India,United Kingdom,United Arab Emirates,Bahrain","pre-seed, seed, series+",VC,100000,10000000,"IT, Edtech, Fintech, IoT"
Select Venture Equity,"Saudi Arabia,United Arab Emirates,Kuwait,Qatar,Bahrain,Singapore,Philippines,Malaysia,Egypt","pre-seed, idea, prototype/mvp, seed, series+",Family office,50000,250000,Sector Agnostic
Selvaggia Fagioli,Italy,"pre-seed, idea, prototype/mvp, seed",Solo angel,5000,5000,IT
Semantic Ventures,"United Kingdom,France,Spain,Germany,Sweden,Finland,Denmark,Italy,Norway,Russia,United States,Canada,Poland,Czech Republic,Ukraine,Portugal,Switzerland,Israel,Ireland,Belgium,Netherlands,Austria,Bulgaria,Croatia,Estonia,Greece,Iceland,Hungary,Lithuania,Romania,Serbia,Slovenia,Slovakia","pre-seed, idea, prototype/mvp, seed, series+",VC,250000,500000,IT
Semapa Next,"Portugal,Spain,France,Germany,Italy,United Kingdom,Ireland,Finland,Sweden,Norway,Belgium,Netherlands,Luxembourg,Poland,Czech Republic,Denmark,Switzerland,Austria","pre-seed, series+",VC,3000000,5000000,IT
Senovo,"Germany,Austria,Belgium,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Greece,Hungary,Iceland,Ireland,Israel,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Netherlands,Norway,Poland,Portugal,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom,Ukraine","pre-seed, seed, series+",VC,1000000,3000000,IT
Sentinel Ventures,"United Kingdom,Israel,United States,Canada,Australia","pre-seed, idea, prototype/mvp, seed, series+",VC,250000,5000000,IT
Seraphim Space,"United Kingdom,United States,India","pre-seed, seed, series+",VC,250000,25000000,IoT
Seventure - Digital Technologies,"France,Germany","pre-seed, idea, prototype/mvp, seed, series+",VC,1000000,5000000,IT
Seventure - Life Sciences,"France,Germany,United States,Canada,Belgium,Japan,Israel,Netherlands,United Kingdom","pre-seed, idea, prototype/mvp, seed, series+",VC,1000000,10000000,"Healthcare, Edtech, IoT"
SFINE - Société de Financement de l Innovation Numérique en Essonne,France,"pre-seed, idea, prototype/mvp, seed",Angel network,25000,100000,Sector Agnostic
Shape VC,"Poland,Ukraine,Latvia,Lithuania,Slovakia,Slovenia,Czech Republic,Belarus","pre-seed, idea, prototype/mvp, seed",VC,0,250000,Sector Agnostic
Shapr Ventures,France,"pre-seed, idea, prototype/mvp, seed",VC,350000,1000000,Sector Agnostic
Shareline,"United Kingdom,Ireland,France,Germany,United States,Canada,Sweden,Estonia,Italy,Spain,Israel","pre-seed, pre-ipo, series a",Angel network,500000,10000000,IT
Sharpstone Capital,France,"pre-seed, idea, prototype/mvp, seed",VC,50000,100000,Sector Agnostic
Sheesha Finance,"Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,DRC Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Liechtenstein,Lithuania,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,United Arab Emirates,Uganda,United Kingdom,Ukraine,Uruguay,United States,Uzbekistan,Vanuatu,Venezuela,Vietnam,Zambia,Zimbabwe","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,1000000,Other
Shine Capital,"United States,United Kingdom,Israel","pre-seed, idea, prototype/mvp, seed",VC,50000,6000000,Sector Agnostic
Shizen Capital,Japan,"pre-seed, idea, prototype/mvp, seed, series+",VC,500000,5000000,Sector Agnostic
Shorooq Partners,"United Arab Emirates,Saudi Arabia,Bahrain,Jordan,Egypt,Tunisia,Morocco,Pakistan,Bangladesh","pre-seed, idea, prototype/mvp, seed, series+",VC,1000000,3000000,IT
SHRMLabs,"United Kingdom,United States,Afghanistan,Algeria,Angola,Andorra,Antigua and Barbuda,Armenia,Argentina,Azerbaijan,Bahamas,Austria,Albania,Bahrain,Australia,Bangladesh,Barbados,Belgium,Belize,Bhutan,Bolivia,Bosnia-H,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Benin,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,Hong Kong,Iceland,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Kuwait,Jordan,Kazakhstan,Kenya,Kiribati,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liechtenstein,Lithuania,Madagascar,Mexico,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritius,Mauritania,Moldova,Monaco,Morocco,Micronesia,Mongolia,Montenegro,Mozambique,Namibia,Nauru,Nepal,Netherlands,New Zealand,Luxembourg,Nigeria,Nicaragua,Niger,North Macedonia,Norway,Oman,Pakistan,Palestine,United Arab Emirates,Zambia,Vietnam,Vanuatu,Uzbekistan,Uruguay,Ukraine,Uganda,Yemen,Venezuela,Tunisia,Turkey,Trinidad and Tobago,Togo,Tonga,Tanzania,Thailand,Tajikistan,Taiwan,Switzerland,Sweden,South Africa,Turkmenistan,Spain,South Sudan,Sri Lanka,South Korea,Solomon Islands,Sierra Leone,Seychelles,Singapore,Slovenia,Poland,Panama,Paraguay,Peru,Papua New Guinea,Saudi Arabia,Senegal,Sao Tome and Principe,Sant Lucia,Sant Kitts and Nevis,San Marino,Rwanda,Portugal,Philippines,Qatar,Romania,Saint Vincent and the Grenadines,Samoa,DRC Congo,Palau,Slovakia,Serbia,Tuvalu","pre-seed, seed, series+",VC,50000,200000,Other
SID Venture Partners,"United States,Estonia,Poland,Portugal,Romania,Ukraine","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,400000,IT
Side Stage Ventures,"Australia,United States","pre-seed, idea, prototype/mvp, seed, series+",Angel network,100000,2000000,IT
Sierra Ventures,"Canada,Mexico,United States,United Kingdom,Israel","pre-seed, idea, prototype/mvp, seed, series+",VC,1000000,6000000,IT
Signals Pre-Seed,"Germany,Austria,Switzerland","pre-seed, idea, prototype/mvp, seed",Corporate VC,120000,300000,IT
Signals Venture Capital,"Germany,Austria,United Kingdom,Switzerland,Israel,France,Denmark,Norway,Sweden,Finland,Poland,Estonia,Spain,Portugal,Netherlands,Belgium,Latvia,Lithuania,Ireland,Czech Republic,Greece,Hungary,Italy","pre-seed, idea, prototype/mvp, seed, series+",VC,1000000,6000000,IT
Signature Ventures,"South Africa,Argentina,Brazil,Canada,Mexico,United States,Japan,Singapore,South Korea,Austria,Belgium,Czech Republic,Finland,France,Germany,Hungary,Italy,Liechtenstein,Luxembourg,Netherlands,Norway,Poland,Portugal,Spain,Switzerland,United Kingdom,Ukraine,Australia","pre-seed, idea, prototype/mvp, seed, series+",VC,500000,1000000,IT
Silicon Road Ventures,"United States,Canada","pre-seed, seed, series+",VC,250000,5000000,"Consumer, Fintech"
Silver Lake Partners,United States,"pre-seed, series a",PE fund,100000000,2500000000,IT
Simpact Ventures,"Austria,Bulgaria,Croatia,Czech Republic,Estonia,Hungary,Latvia,Lithuania,Poland,Romania,Serbia,Slovakia,Slovenia,Ukraine","pre-seed, idea, prototype/mvp, seed, series+",VC,150000,2000000,Sector Agnostic
simple.Capital(),"South Africa,Kenya,Nigeria,Egypt,United States,United Kingdom,Peru,Indonesia,Canada,Netherlands,Germany,France,Brazil,Mexico,Spain,Italy","pre-seed, seed, series+",VC,100000,300000,Sector Agnostic
Simsan Ventures,"United Kingdom,France,Germany,Spain,Netherlands,India,South Korea,Sweden,Estonia,Switzerland,Denmark","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,2000000,Fintech
Sinarmas Technology,India,"pre-seed, idea, prototype/mvp, seed, series+",VC,200000,10000000,IT
Singular,"United Kingdom,Germany,France,Spain,Italy,Finland,Sweden,Denmark,Netherlands,Norway,Poland,Austria,Portugal,Belgium","pre-seed, idea, prototype/mvp, seed, series+",VC,1000000,25000000,Sector Agnostic
SIX Fintech Ventures,"Switzerland,Germany,Spain,Austria,United Kingdom,France,Belgium,Netherlands","pre-seed, idea, prototype/mvp, seed, series+",Corporate VC,300000,2000000,Fintech
SK Ventures,"Canada,United States","pre-seed, idea, prototype/mvp, seed",VC,50000,250000,Sector Agnostic
Sketchnote Partners,"Philippines,Vietnam,Singapore,Thailand,Bangladesh,Indonesia,Pakistan,India","pre-seed, idea, prototype/mvp, seed",VC,50000,250000,"IT, Edtech, Fintech"
Skystar Capital,"Indonesia,Malaysia,Philippines,Singapore,Vietnam","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,2000000,IT
Slimmer AI,"Belgium,Luxembourg,Netherlands","pre-seed, idea, prototype/mvp, seed",Startup studio,50000,3000000,IT
Smartfin,"Belgium,Denmark,Finland,France,Germany,Italy,Luxembourg,Netherlands,Spain,Sweden,Switzerland,Turkey","pre-seed, seed, series+",VC,1000000,20000000,IT
Smedvig Capital,"United Kingdom,Norway,Denmark,Sweden,Finland,Netherlands,Iceland","pre-seed, series+",VC,3000000,20000000,Sector Agnostic
Smok Ventures,"Albania,Belarus,Bosnia-H,Bulgaria,Croatia,Czech Republic,Estonia,Hungary,Latvia,Lithuania,Moldova,Montenegro,North Macedonia,Poland,Romania,Serbia,Slovakia,Slovenia,Ukraine","pre-seed, idea, prototype/mvp, seed",VC,100000,1000000,IT
Snö Ventures,"Norway,Sweden,Finland,Denmark,Iceland","pre-seed, seed, series+",VC,600000,5000000,IT
Socii Capital,"United States,Singapore,Denmark,France,Germany,Norway,Sweden,United Kingdom","pre-seed, idea, prototype/mvp, seed, series+",VC,500000,4000000,"IT, Fintech"
Sofinnova Partners,"France,Italy,United States,Germany,Netherlands,Canada,Switzerland,United Kingdom","pre-seed, idea, prototype/mvp, pre-ipo, seed, series+",VC,1000000,60000000,"Healthcare, Edtech, IoT"
Sony Innovation Fund,"United States,Israel,Japan","pre-seed, seed, series+",Corporate VC,250000,10000000,IoT
SOSV,United States,"pre-seed, idea, prototype/mvp",VC,250000,525000,Other
Source Ventures,"United States,Austria,Belgium,Denmark,Finland,France,Germany,Ireland,Luxembourg,Netherlands,Portugal,Spain,Sweden,Switzerland,United Kingdom","pre-seed, idea, prototype/mvp, seed",VC,50000,200000,Sector Agnostic
South Central Ventures,"Albania,Bosnia-H,Croatia,Montenegro,North Macedonia,Serbia","pre-seed, seed, series+",VC,500000,5000000,Other
Sova VC,"United Kingdom,Sweden,Norway,Denmark,Ireland,Estonia,Finland","pre-seed, seed, series+",VC,1000000,4000000,IT
Spacecadet Ventures,"United States,Canada,Mexico,Argentina,Colombia,India,United Kingdom,United Arab Emirates,Germany,Australia,Brazil","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,500000,IT
Sparking Capital,Romania,"pre-seed, idea, prototype/mvp, seed",VC,50000,300000,Sector Agnostic
Spaze Ventures,"Singapore,Malaysia,Vietnam,Indonesia,Philippines,Thailand,Australia,New Zealand","pre-seed, seed, series+",VC,50000,500000,IT
Speciale Invest,"India,United States","pre-seed, idea, prototype/mvp, seed",VC,100000,500000,IT
Speedinvest,"United States,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Netherlands,Norway,Poland,Romania,Slovakia,Slovenia,Sweden,Switzerland,United Kingdom,Ukraine,Israel,Turkey","pre-seed, idea, prototype/mvp, seed, series+",VC,200000,3000000,IT
SpeedUp Venture Capital Group,"Czech Republic,Estonia,Hungary,Latvia,Lithuania,Poland,Romania,Slovakia","pre-seed, idea, prototype/mvp, seed",VC,200000,1000000,"Energy, IoT"
Spinaker Alfa,Poland,"pre-seed, idea, prototype/mvp, seed",VC,100000,200000,Fintech
Spintop Ventures,"Sweden,Finland,Norway,Denmark,Iceland","pre-seed, idea, prototype/mvp, seed, series+",VC,1000000,2000000,IT
Spring Capital (Estonia),"Croatia,Czech Republic,Denmark,Estonia,Finland,Hungary,Latvia,Lithuania,Moldova,Norway,Poland,Romania,Slovakia,Slovenia,Sweden,Ukraine","pre-seed, seed, series+",VC,50000,200000,Sector Agnostic
Spring Invest,France,"pre-seed, seed, series+",VC,500000,3000000,IT
SpringTime Ventures,United States,"pre-seed, idea, prototype/mvp, seed",VC,500000,700000,"Healthcare, Fintech, IoT"
Sprout Fund,Canada,"pre-seed, seed, series+",VC,100000,300000,IT
SQ Capital,"Croatia,Slovenia,Serbia,Bosnia-H,North Macedonia,Montenegro","pre-seed, idea, prototype/mvp, seed",VC,150000,500000,Sector Agnostic
Square Peg,"Australia,Israel,Singapore,Indonesia,Vietnam,Malaysia","pre-seed, idea, prototype/mvp, seed, series+",VC,1000000,15000000,Sector Agnostic
Stadia Ventures,"Australia,Canada,India,Israel,New Zealand,South Africa,United Kingdom,United States","pre-seed, seed, series+",VC,50000,250000,Other
Starlight Ventures,"United Kingdom,United States,Canada,Mexico,Brazil,Argentina,Chile,Colombia,Germany,Spain,Italy,France,Israel","pre-seed, idea, prototype/mvp, seed",VC,100000,3000000,Sector Agnostic
Starquest Capital,France,"pre-seed, seed, series+",VC,1000000,10000000,Sector Agnostic
Start Ventures,"Portugal,Spain,France,Germany,Netherlands,United Kingdom,United States,Italy","pre-seed, idea, prototype/mvp, seed",VC,100000,500000,Fintech
StartCapital Partners,Netherlands,"pre-seed, idea, prototype/mvp, seed",VC,100000,500000,IT
StartersHub,"Turkey,United States,United Kingdom,Poland,Romania,Bulgaria,Czech Republic,Ukraine,Lithuania,Estonia,Hungary,Latvia,Slovakia,Slovenia","pre-seed, idea, prototype/mvp, seed",VC,100000,500000,"IT, Edtech, Fintech"
Startup Sherpas,India,"pre-seed, idea, prototype/mvp, seed, series+","Incubator, Accelerator",50000,50000,Consumer
Startup Wise Guys,"Kenya,Nigeria,Kazakhstan,Albania,Bosnia-H,Bulgaria,Croatia,Czech Republic,Denmark,Estonia,Finland,Italy,Latvia,Lithuania,Moldova,Poland,Romania,Serbia,Slovakia,Slovenia,Sweden,United Kingdom,Ukraine,Turkey","pre-seed, idea, prototype/mvp, seed","Incubator, Accelerator",50000,200000,"IT, Fintech"
Startup-O,"Australia,Canada,India,Malaysia,Singapore,Vietnam,Thailand,United States,United Kingdom,United Arab Emirates,Philippines,New Zealand,Luxembourg,Indonesia","pre-seed, seed, series+",VC,150000,500000,Other
Startupfon,"Turkey,United States,Poland,Czech Republic,Hungary,Slovakia,Romania","pre-seed, seed, series+",VC,75000,200000,Sector Agnostic
Steamwork Ventures,United States,"pre-seed, seed, series+",VC,50000,750000,IT
Storm Ventures,"United States,South Korea,Germany,Israel","pre-seed, seed, series+",VC,1000000,5000000,IT
Strange Ventures,United States,"pre-seed, idea, prototype/mvp, seed",VC,100000,500000,IT
Strategic Group,"United States,Canada,United Kingdom,Israel,Colombia,India","pre-seed, idea, prototype/mvp, seed, series+",Family office,25000,100000,Sector Agnostic
StratMinds VC,"Canada,United States,Japan,Singapore,South Korea,United Kingdom","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,1000000,Sector Agnostic
Strike Ventures,United States,"pre-seed, series a",VC,250000,1000000,IT
Striking Markets,"United States,India,Indonesia,Japan,Philippines,Singapore,South Korea,Taiwan,Austria,Belgium,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,Netherlands,Norway,Poland,Portugal,Spain,Sweden,Switzerland,United Kingdom,Australia,New Zealand","pre-seed, idea, prototype/mvp, seed",Angel network,10000,100000,Fintech
Studio Sia Partners,France,"pre-seed, seed, series+",VC,300000,700000,Other
Subvisual,"Portugal,United Kingdom,United States","pre-seed, idea, prototype/mvp",PE fund,25000,250000,Fintech
Sugar Capital,United States,"pre-seed, idea, prototype/mvp, seed",VC,500000,1000000,Sector Agnostic
Sunfish Partners,Poland,"pre-seed, idea, prototype/mvp, seed",VC,200000,500000,Sector Agnostic
Sunsino Venture Group,"Taiwan,Japan,United States,Hong Kong,Vietnam,Singapore","pre-seed, idea, prototype/mvp, seed, series+",VC,200000,2000000,"Edtech, IoT"
SuperAngel.Fund,United States,"pre-seed, idea, prototype/mvp, seed, series+",VC,25000,250000,Consumer
Superbet Ventures,"United Kingdom,United States,Brazil,India,France,Spain,Romania,Czech Republic,Poland,Croatia,Belgium","pre-seed, idea, prototype/mvp, seed",Corporate VC,100000,1000000,Other
Supernode Ventures,"United States,Mexico,Brazil,Colombia","pre-seed, seed, series+",VC,50000,100000,Sector Agnostic
SuperSeed,"United Kingdom,France,Germany,Netherlands,Belgium,Switzerland,Italy,Spain","pre-seed, idea, prototype/mvp, seed",VC,500000,2000000,IT
Supply Change Capital,United States,"pre-seed, idea, prototype/mvp, seed",VC,500000,1000000,Sector Agnostic
Sure Valley Ventures,"United Kingdom,Ireland","pre-seed, idea, prototype/mvp, seed",VC,500000,1000000,IT
SurgeDAO,India,"pre-seed, idea, prototype/mvp",Angel network,10000,50000,Other
Susa Ventures,"United States,Canada,Nigeria,Mexico,India","pre-seed, idea, prototype/mvp, seed",VC,1000000,2000000,Sector Agnostic
SWaN & Legend Venture Partners,United States,"pre-seed, seed, series+",VC,4000000,15000000,IT
Swanlaab Venture Factory,Spain,"pre-seed, seed, series+",VC,500000,3000000,IT
Sway Ventures,United States,"pre-seed, seed, series+",VC,250000,5000000,"Consumer, Fintech"
Swiss Founders Fund,"Switzerland,Germany,Austria,Netherlands,France,Liechtenstein,Belgium,Denmark,Estonia,Finland,Iceland,Ireland,Italy,Luxembourg,Norway,Spain,Sweden,United States,United Kingdom,Canada,Singapore,Thailand,Malaysia,India","pre-seed, idea, prototype/mvp, seed",VC,25000,250000,Other
Swisscom Ventures,"United States,Belgium,Bulgaria,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom,Israel","pre-seed, pre-ipo, seed, series+",Corporate VC,1000000,10000000,Sector Agnostic
Synergy Ventures,United States,"pre-seed, seed",Corporate VC,250000,1000000,IT
TA Ventures,"Canada,United States,India,Indonesia,Japan,Malaysia,Philippines,Singapore,South Korea,Thailand,Vietnam,Austria,Belarus,Belgium,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Italy,Latvia,Lithuania,Netherlands,Norway,Poland,Portugal,Romania,Spain,Switzerland,United Kingdom,Ukraine,Israel,Saudi Arabia,United Arab Emirates,Australia","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,500000,IT
Takara Capital,France,"pre-seed, seed",VC,300000,600000,Other
Taram Capital,"Chile,Colombia,Ecuador,Mexico,Peru,United States","pre-seed, seed, series+",VC,500000,4000000,IT
Target Global,"Germany,France,Netherlands,United Kingdom,Spain,Austria,Israel,Luxembourg,Portugal,Switzerland","pre-seed, idea, prototype/mvp, pre-ipo, seed, series+",VC,250000,50000000,IT
Taver Capital,"United States,United Kingdom,Israel","pre-seed, seed",VC,200000,500000,Other
Tawuniya Digital Ventures,United States,"pre-seed, pre-ipo, series+",Corporate VC,500000,2000000,IT
Tech Square Ventures,United States,"pre-seed, seed",VC,500000,2000000,IT
TechAviv Founder Partners,"United States,Israel,United Kingdom","pre-seed, idea, prototype/mvp, seed",VC,500000,3000000,Sector Agnostic
Techhub Invest,"Denmark,Norway,Sweden,Finland","pre-seed, seed",Other,20000,75000,IT
TechOne Ventures,Turkey,"pre-seed, seed, series+",VC,100000,1000000,Sector Agnostic
TechOperators,United States,"pre-seed, idea, prototype/mvp, seed",VC,500000,6000000,Sector Agnostic
Techstars Payments,"Argentina,Bolivia,Chile,Colombia,Mexico,Peru,Ecuador,Dominican Republic,United States","pre-seed, idea, prototype/mvp, seed, series+","Incubator, Accelerator",20000,120000,Fintech
TecPier,"United States,Germany,United Kingdom,Singapore,Denmark,Norway,Sweden,Finland,Greece,Canada,Netherlands,Belgium,Australia,Poland,Switzerland,Portugal,Spain,Italy,France,Luxembourg","pre-seed, idea, prototype/mvp, seed",VC,100000,500000,Sector Agnostic
TECS Capital,"Greece,Netherlands,United Kingdom,Italy,Spain,Bulgaria,Romania,Poland,Belgium,France","pre-seed, idea, prototype/mvp, seed",VC,100000,500000,IT
Teknasyon,"Romania,Ukraine,Egypt,United Arab Emirates,Bahrain,Estonia,Portugal,Turkey,Russia,Belarus,Poland,Czech Republic,Hungary","pre-seed, idea, prototype/mvp, seed, series+",Corporate VC,100000,500000,Consumer
Telah,"France,United Kingdom,India,United States","pre-seed, idea, prototype/mvp, seed, series+",Angel network,150000,300000,Consumer
Telkomsel VC,Indonesia,"pre-seed, seed, series+",Corporate VC,500000,5000000,Sector Agnostic
Telos Impact,"Austria,Belgium,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Netherlands,Norway,Poland,Portugal,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom,Israel","pre-seed, seed, series+",VC,2000000,5000000,Sector Agnostic
Ten Coves Capital,"United States,Canada","pre-seed, pre-ipo, series+",PE fund,5000000,25000000,Sector Agnostic
Tenacious Ventures,Australia,"pre-seed, seed",VC,250000,1000000,Sector Agnostic
TenOneTen Ventures,United States,"pre-seed, seed",VC,250000,1000000,Sector Agnostic
Tera Ventures,"Estonia,Latvia,Lithuania,Sweden,Poland,Czech Republic,Finland,Denmark","pre-seed, idea, prototype/mvp, seed",VC,200000,1000000,Fintech
Terra Venture Partners,Israel,"pre-seed, idea, prototype/mvp, seed",VC,500000,1000000,Other
test,Albania,"pre-seed, seed",VC,30000,40000,Fintech
TGFS Technologiegründerfonds Sachsen,Germany,"pre-seed, idea, prototype/mvp, seed, series+",VC,100000,1000000,IT
The Ganesha Lab,"Chile,Argentina,Brazil,Uruguay,Colombia,Venezuela,Paraguay,Bolivia,Peru,Mexico,Costa Rica","pre-seed, idea, prototype/mvp, seed, series+","Incubator, Accelerator",0,200000,"Healthcare, IoT"
The Helm,United States,"pre-seed, idea, prototype/mvp, seed, series+",VC,500000,750000,Sector Agnostic
The Moon Venture,France,"pre-seed, seed, series+",VC,200000,1000000,"IT, Healthcare, Fintech, IoT"
The SidebySide Partnership,United Kingdom,"pre-seed, series+",VC,275000,1000000,IT
The Techshop SGR,Italy,"pre-seed, idea, prototype/mvp, seed",VC,500000,1000000,IT
The Westly Group,"United States,Canada,Belgium,Finland,Sweden,France,Germany","pre-seed, seed, series+",Other,3000000,7000000,IT
TheClubDeal Capital Advisors,"Belgium,France","pre-seed, seed, series+",PE fund,1000000,5000000,Sector Agnostic
TheVentureCity,"United States,Canada,Mexico,Colombia,Brazil,Chile,Spain,Portugal,Germany,Switzerland,Austria,France,United Kingdom,Finland,Sweden,Poland","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,4000000,Other
Third Rock Ventures,United States,"pre-seed, idea, prototype/mvp",VC,5000000,100000000,Other
Thundermountain,"Germany,Lithuania,Latvia,Estonia,Switzerland,Austria,United Kingdom,France,Netherlands,Belgium,Luxembourg","pre-seed, idea, prototype/mvp, seed, series+",Other,25000,100000,Sector Agnostic
Tiburon,"Brazil,Canada,Mexico,United States,Austria,Belgium,Denmark,Estonia,Finland,France,Germany,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Netherlands,Norway,Poland,Portugal,Spain,Sweden,Switzerland,United Kingdom,Australia","pre-seed, idea, prototype/mvp, seed",VC,50000,300000,IT
Tilia Impact Ventures,"Czech Republic,Slovakia,Hungary,Poland,Bulgaria,Romania,Ukraine,Austria,Slovenia,Croatia,Serbia,Belarus,Lithuania,Latvia,Estonia","pre-seed, idea, prototype/mvp, seed",VC,100000,2000000,Other
